timestamp,x,y,z,temp
1750603266510,0.37,0.36,0.89,0.0
1750603266912,0.36,0.37,0.89,32.44
1750603266962,0.37,0.37,0.91,32.44
1750603267012,0.38,0.38,0.9,32.45
1750603267072,0.4,0.38,0.91,32.42
1750603267132,0.37,0.39,0.9,32.44
1750603267192,0.37,0.38,0.91,32.44
1750603267252,0.34,0.37,0.87,32.44
1750603267312,0.38,0.36,0.93,32.44
1750603267372,0.35,0.38,0.86,32.45
1750603267432,0.35,0.38,0.92,32.44
1750603267492,0.36,0.37,0.89,32.44
1750603267552,0.38,0.44,0.9,32.44
1750603267612,0.34,0.35,0.89,32.45
1750603267672,0.35,0.39,0.94,32.44
1750603267732,0.32,0.4,0.89,32.44
1750603267792,0.32,0.41,0.9,32.47
1750603267852,0.31,0.33,0.96,32.45
1750603267912,0.32,0.33,1.01,32.44
1750603267973,0.31,0.29,0.96,32.44
1750603268032,0.35,0.36,0.96,32.45
1750603268092,0.25,0.21,0.99,32.45
1750603268152,0.33,0.27,0.96,32.42
1750603268212,0.3,0.28,0.97,32.42
1750603268272,0.26,0.28,0.93,32.44
1750603268332,0.19,0.28,0.97,32.44
1750603268392,0.28,0.38,0.93,32.44
1750603268452,0.22,0.24,0.99,32.45
1750603268512,0.26,0.28,1.03,32.44
1750603268572,0.28,0.26,0.89,32.44
1750603268632,0.31,0.26,0.97,32.44
1750603268692,0.37,0.23,0.97,32.45
1750603268752,0.38,0.23,1.01,32.44
1750603268812,0.42,0.24,0.97,32.42
1750603268872,0.46,0.24,0.88,32.44
1750603268932,0.45,0.22,0.83,32.45
1750603268992,0.49,0.23,0.97,32.44
1750603269052,0.55,0.24,0.75,32.42
1750603269112,0.71,0.22,0.8,32.44
1750603269172,0.69,0.26,0.62,32.44
1750603269232,0.66,0.2,0.87,32.42
1750603269292,0.84,0.17,0.67,32.44
1750603269352,0.81,0.14,0.63,32.44
1750603269412,0.82,0.15,0.68,32.44
1750603269472,0.73,0.2,0.71,32.44
1750603269532,0.63,0.25,0.86,32.45
1750603269592,0.57,0.27,0.74,32.44
